hilane,	हिलाने,	हिलने
naksaliyon,	नकसालियों,	नक्सलियों
najriyon,	नजरियों,	नजरियों
stithi,	स्तिथि,	स्तिथि
jajon,	जाजों,	जजों
chalit,	चलित,	चालित
cement,	सीमेंट,	सिमटे
tapmano,	तापमानों,	तापमानों
chaudah,	चौदह,	चौड़ा
bantne,	बांटने,	बंटने
submission,	सब्मिशन,	सबमिशन
thirty,	थिर्टी,	थर्टी
swarthparak,	स्वर्थपरक,	स्वार्थपरक
kanblon,	कंबलों,	कंबलों
rambharosey,	रामभरोसीय,	रामभरोसे
prapaton,	प्रपतों,	प्रपातों
hingis,	हिंगिस,	हिंगिस
shirshkon,	शिर्षकों,	शीर्षकों
vaitrawati,	वैत्रवती,	वैत्रवती
baila,	बैला,	बैला
fodo,	फोडो,	फोड़ों
tension,	टेंशन,	टेंशन
mancheeye,	मांचीय,	मंचीय
sutali,	सूतली,	सुतली
dhoondhi,	ढूंधी,	ढूंढी
dhokhebaaj,	धोखेबाज,	धोखेबाज
maryaadaa,	मर्यादा,	मर्यादा
help,	हेल्प,	हेल्प
jadein,	जादें,	जड़ें
vaishaakhi,	वैशाखी,	वैशाखी
sajsajja,	सजसजजज,	साजसज्जा
sanskaari,	संस्कारी,	संस्कारी
anand,	आनंद,	आनद
sapariwar,	सपरीवार,	सपरिवार
chaplusi,	चपलुसी,	चापलूसी
pihani,	पिहानी,	पिहानी
proud,	प्रौड,	प्रौढ
ea,	ई,	ईए
sfoorti,	स्फूर्ती,	स्फूर्ति
prahasan,	प्रहासन,	प्रहसन
aagman,	आगमन,	आगमन
marwar,	मारवार,	मारवाड़
lindn,	लिंडन,	लिंडन
vishwasaniy,	विश्वसानीय,	विश्वसनीय
teji,	तेजी,	तेजी
shabdarth,	शबदर्थ,	शब्दार्थ
sabhaein,	सभाएं,	सभाएं
oran,	ओरन,	ओरण
mowgli,	मौगली,	मोगली
matix,	मैटिक्स,	मैट्रिक्स
bandhte,	बांधते,	बांधते
gosvaami,	गोस्वामी,	गोस्वामी
kalpnaon,	कल्पनाओं,	कल्पनाओं
dardara,	दरदारा,	दरदरा
uplakshya,	उपलाक्ष्य,	उपलक्ष्य
thaili,	थैली,	थैली
upbhokta,	उपभोक्त,	उपभोक्ता
sarguja,	सरगुजा,	सरगुजा
sitaharan,	सिताहारण,	सीताहरण
alaps,	अल्प्स,	ऐल्प्स
ajhar,	अजहर,	अजहर
laati,	लाती,	लाती
maulvidon,	माल्विदों,	मौलवियों
maharaja,	महराजा,	महाराजा
lutf,	लट,	लुत्फ
moolar,	मूलर,	मूलर
naino,	नैनो,	नैनो
vasharan,	वश्षण,	वर्शन
malish,	मलीश,	मालिश
sabhaen,	सभाएं,	सभाएं
chauki,	चौकी,	चौकी
gujar,	गुजर,	गुजार
darul,	दारुल,	दारूल
sahdev,	सहदेव,	सहदेव
gopichand,	गोपीचंद,	गोपीचंद
sanyukta,	संयुक्त,	संयुक्त
nagaadaa,	नगदा,	नगाड़ा
ikhrul,	इखरूल,	उखरुल
hanfte,	हैंफते,	हांफते
raagon,	रागों,	रागों
da,	डा,	दा
gajra,	गजरा,	गजरा
ukrainian,	यूक्रेनियन,	यूक्रेनियन
mathey,	माथे,	माथे
inhaletion,	इन्हेलेशन,	इनहेलेशन
takaraon,	टकराओं,	टकरावों
kalmen,	कलमें,	कलमें
ria,	रिया,	रिया
khal,	खाल,	खाल
balty,	बाल्टी,	बाल्टी
letakar,	लेटकर,	लेटकर
dewey,	देवे,	डेवी
yaatna,	याटना,	यातना
darmiyan,	डरमियां,	दरमियान
mashrak,	माश्रक,	मशरक
latkate,	लटकते,	लटकाते
gthalidar,	ग्थालीदार,	गुठलीदार
crick,	क्रिक,	क्रिक
agha,	आघा,	आग़ा
bharatnatyam,	भारतनात्यम,	भरतनाट्यम्
radical,	रेडिकल,	रैडिकल
uthakar,	उठाकर,	उठाकर
balli,	बल्ली,	बल्ली
sagrika,	सागरिका,	सागरिका
ear,	इयर,	इअर
pahnata,	पहनता,	पहनता
jivaniya,	जीवनिय,	जीवनियां
chahunaur,	चाहुनौर,	चहुंओर
sanskrutiyan,	सांस्कृतियां,	संस्कृतियां
gazi,	गाजी,	गाज़ी
amjhera,	अमझेरा,	अमझेरा
chhinky,	छिंकी,	छींके
pashtun,	पश्तुन,	पश्तून
aithan,	ऐंठन,	ऐठन
aparivartanshali,	अपरिवर्तशाली,	अपरिवर्तनशील
nazarandaaj,	नजरअंदाज,	नजरंदाज
bajaj,	बजज,	बजाज
chhudane,	छुड़ने,	छुडाने
baithantey,	बैठांते,	बैठते
baniya,	बनिया,	बनिया
mahanideshak,	महानिदेषक,	महानिदेशक
falata,	फलता,	फलता
beejak,	बीजक,	बीजक
phoda,	फोडा,	फोड़ा
anudit,	अनुदित,	अनूदित
isteefe,	इस्तीफे,	इस्तीफे
grihnagar,	गृहणगर,	गृहनगर
padha,	पढ़ा,	पढ़ा
tuning,	ट्यूनिंग,	ट्यूनिंग
lakshmidhar,	लक्ष्मीधार,	लक्ष्मीधर
jgaayega,	जगाएगा,	जगाएगा
hemvati,	हेमवती,	हेमवती
